=== LEVEL 1 ===


--- Summary Table: Level 1, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |   SD |   Min |   Max |   Success Rate (%) |
| Active (5% FOV)   |  14.79 |  3.24 |   8.00 | 19.00 |               0.00 |
| Active (10% FOV)  |  17.18 |  1.68 |  13.00 | 19.00 |               0.00 |
| Active (20% FOV)  |  17.67 |  2.07 |  10.00 | 20.00 |               7.00 |
| Active (40% FOV)  |  17.78 |  1.14 |  16.00 | 20.00 |               4.00 |
| Active (60% FOV)  |  15.57 | 11.10 | -28.00 | 20.00 |               7.00 |
| Active (80% FOV)  |  18.03 |  2.96 |   0.00 | 20.00 |              19.00 |
| Active (100% FOV) |  18.32 |  0.98 |  16.00 | 20.00 |               7.00 |

--- Summary Table: Level 3, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -63.76 | 48.37 | -138.00 | 19.00 |              21.00 |
| Active (1% FOV)   | -21.25 | 46.62 | -165.00 | 19.00 |              45.00 |
| Active (5% FOV)   | -67.16 | 58.46 | -204.00 | 17.00 |              15.00 |
| Active (10% FOV)  | -52.26 | 46.23 | -204.00 | 17.00 |              15.00 |
| Active (20% FOV)  | -27.23 | 43.14 | -154.00 | 19.00 |              32.00 |
| Active (40% FOV)  | -59.50 | 47.72 | -193.00 | 19.00 |              14.00 |
| Active (60% FOV)  | -57.57 | 47.30 | -175.00 | 17.00 |              19.00 |
| Active (80% FOV)  | -26.14 | 48.03 | -170.00 | 19.00 |              43.00 |
| Active (100% FOV) | -64.23 | 65.57 | -218.00 | 19.00 |              30.00 |

--- Summary Table: Level 3, Trained on Level 1 | Success Threshold >= 0 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -63.76 | 48.37 | -138.00 | 19.00 |              19.00 |
| Active (1% FOV)   | -21.25 | 46.62 | -165.00 | 19.00 |              42.00 |
| Active (5% FOV)   | -67.16 | 58.46 | -204.00 | 17.00 |              14.00 |
| Active (10% FOV)  | -52.26 | 46.23 | -204.00 | 17.00 |              14.00 |
| Active (20% FOV)  | -27.23 | 43.14 | -154.00 | 19.00 |              29.00 |
| Active (40% FOV)  | -59.50 | 47.72 | -193.00 | 19.00 |              14.00 |
